,0,0,1,2,3,4,5
0,27/12/2022 - Tuesday,11h30,7,5,71.42857142857143,5,88.622
1,27/12/2022 - Tuesday,11h15,14,10,71.42857142857143,10,88.183
2,27/12/2022 - Tuesday,10h30,21,15,71.42857142857143,15,88.124
3,27/12/2022 - Tuesday,11h00,28,20,71.42857142857143,20,87.893
4,27/12/2022 - Tuesday,10h45,35,25,71.42857142857143,25,87.775
5,27/12/2022 - Tuesday,10h00,42,30,71.42857142857143,30,87.594
6,27/12/2022 - Tuesday,9h00,49,35,71.42857142857143,35,87.467
7,27/12/2022 - Tuesday,8h45,56,40,71.42857142857143,40,87.467
8,27/12/2022 - Tuesday,9h15,63,45,71.42857142857143,45,87.354
9,27/12/2022 - Tuesday,9h45,70,50,71.42857142857143,50,87.261
10,28/12/2022 - Wednesday,11h30,4,1,25.0,1,89.196
11,28/12/2022 - Wednesday,11h15,8,2,25.0,2,88.956
12,28/12/2022 - Wednesday,11h00,12,3,25.0,3,88.499
13,28/12/2022 - Wednesday,10h30,16,4,25.0,4,88.088
14,28/12/2022 - Wednesday,9h00,20,5,25.0,5,88.068
15,28/12/2022 - Wednesday,8h45,24,6,25.0,6,88.068
16,28/12/2022 - Wednesday,9h45,28,7,25.0,7,87.896
17,28/12/2022 - Wednesday,9h15,32,8,25.0,8,87.767
18,28/12/2022 - Wednesday,10h00,36,9,25.0,9,87.483
19,28/12/2022 - Wednesday,10h45,40,10,25.0,10,86.983
20,29/12/2022 - Thursday,11h30,7,5,71.42857142857143,5,88.99
21,29/12/2022 - Thursday,11h15,14,10,71.42857142857143,10,88.746
22,29/12/2022 - Thursday,11h00,21,15,71.42857142857143,15,88.282
23,29/12/2022 - Thursday,10h30,28,20,71.42857142857143,20,88.28
24,29/12/2022 - Thursday,10h45,35,25,71.42857142857143,25,88.185
25,29/12/2022 - Thursday,10h00,42,30,71.42857142857143,30,88.087
26,29/12/2022 - Thursday,9h00,49,35,71.42857142857143,35,87.846
27,29/12/2022 - Thursday,8h45,56,40,71.42857142857143,40,87.846
28,29/12/2022 - Thursday,9h15,63,45,71.42857142857143,45,87.54
29,29/12/2022 - Thursday,9h45,70,50,71.42857142857143,50,87.441
30,30/12/2022 - Friday,11h15,4,1,25.0,1,89.601
31,30/12/2022 - Friday,11h30,8,2,25.0,2,89.502
32,30/12/2022 - Friday,11h00,12,3,25.0,3,89.315
33,30/12/2022 - Friday,10h30,16,4,25.0,4,89.063
34,30/12/2022 - Friday,10h45,20,5,25.0,5,88.889
35,30/12/2022 - Friday,10h15,24,6,25.0,6,88.559
36,30/12/2022 - Friday,9h45,28,7,25.0,7,88.518
37,30/12/2022 - Friday,10h00,32,8,25.0,8,88.349
38,30/12/2022 - Friday,9h00,36,9,25.0,9,88.124
39,30/12/2022 - Friday,8h45,40,10,25.0,10,88.124
40,31/12/2022 - Saturday,11h15,10,6,60.0,6,87.073
41,31/12/2022 - Saturday,11h30,20,12,60.0,12,86.954
42,31/12/2022 - Saturday,11h00,30,18,60.0,18,86.628
43,31/12/2022 - Saturday,10h30,40,24,60.0,24,86.429
44,31/12/2022 - Saturday,10h45,50,30,60.0,30,86.22
45,31/12/2022 - Saturday,10h15,60,36,60.0,36,85.823
46,31/12/2022 - Saturday,9h45,70,42,60.0,42,85.815
47,31/12/2022 - Saturday,10h00,80,48,60.0,48,85.571
48,31/12/2022 - Saturday,9h00,90,54,60.0,54,85.302
49,31/12/2022 - Saturday,8h45,100,60,60.0,60,85.302
